id	author	year	era1	era2	text	Agitation_models/Agitation.pt	Anger_models/Anger.pt	Fear_models/Fear.pt	Joy_models/Joy.pt	Love_models/Love.pt	Sadness_models/Sadness.pt
3074409X_1913-02-01	nn	1913	pre war	pre	"""Der Tag"" besicht aus zwei Teilen, dem zweimal täglich, morgens und abends (Sonnt"	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	"""Der Tag"" besicht aus zwei Teilen, dem zweimal täglich, morgens und abends (Sonntags;"	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	"""Im Vertrauen auf den Beistand und die"	0	0	0	0	1	0
3074409X_1913-02-01	nn	1913	pre war	pre	"(Ilustrierter Teil allein) 1 Mark. - Ausgabe C (Nachrichten-Teil mit ""Bilder vom Tage"") 1 Mar"	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	(Von unserem u.-Korresponoenten.)	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	"(iliustrierter Teil allein) 1 Mark. - Ausgabe C (Nachrichten-Tedl mit ""Bilder vom Tage"") 1."	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Das Fahrpersonal der Hamburger Hochbahn	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Der Senior der deutsch-amerikanischen Schriftsteller	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Der frühere deutsche Botschafter in Washingion	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Die Mitglieder der serbischen Delegation außer	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Die Strafkammer in Halle a. S. verurteilte	0	0	1	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Die französische Deputiertenkammer hat im	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Eine größere marokkanische Abteilung, die	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* In der Budgetkommission des Abgeordnetenhauses	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* In der heutigen Sitzung des Abgeordnetenhauses	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Kaiser Franz Joseph entsendet den Oberstleutnant	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	* Zum türkischen Generalissimus ist der Generalstabschef	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	*) Näheres unten.	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	+ Die Budgetkommission des Abgeordne-	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	1912 der Schutzmann Garnier auf der Pariser	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	2642 Stimmen erhielt, gewählt. Das Ergebnis ist	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	47,550 Frank zu rauben. Und das Unerhörte geschah:	0	1	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	75. Lebensjahr in Charlottenburg gestorben.	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	= Der Präsident des Konsistoriums in Berlin.	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	= Wenn sich auch immer noch Schwierigkeiten	0	0	0	0	0	1
3074409X_1913-02-01	nn	1913	pre war	pre	Abendausgabe	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Adrar eine Abteilung französischer Schützen angegriffen	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Adrianopel führen werden, aber er mag das	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Adrianopel oder Krieg.	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Ahnungsvollen und versuchen die aufgestellten Forderungen	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	All die politischen und kriegerischen Unruhen	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Alle Mächte haben die Auffassung, daß diese	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Am 27. April wurde Bonnot bei seinem Freund	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Am Vormittag der gestrigen Sitzung wurde das	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Anarchismus gewesen zu sein scheinen. Erwähnt	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Angewohnheit gesteigerte individuelle Anlage, die sich	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Anschluß an die Erörterung des Falles du Paty	0	0	0	0	0	1
3074409X_1913-02-01	nn	1913	pre war	pre	Antwort neue Verhandlungen zur Herbeiführung	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Antwortnote, die die Besorgnisse Europas über die	0	0	1	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Anzeigenpreis pro Zeile: im Nachrichten-Teil 60 Pfg., im illustrierten Teil 75 Pig., mit	0	0	0	0	0	0
3074409X_1913-02-01	nn	1913	pre war	pre	Armee zu unterhalten. Auch wäre es nicht unmöglich,	0	0	0	0	0	0
