year,month,day,issue,num_pages,topics,subtopics,method
1900,01,02,2,12,berlin blattes|von akten|intend armeecorps|herr frl|ist sind,berlin|blattes|dieſes|offerten|berlin sw,bertopic
1901,01,08,6,16,berlin gratis|sich die|00 50|der iſt|er der,berlin|gratis|für|etc|und,bertopic
1901,01,09,7,15,er der|die der|berlin co|000 sich|etc drucksachen,er|der|zu|von|und,bertopic
1901,01,10,8,16,ſie ihr|an private private|mk flaschen|der nahrung|der die,ſie|ihr|er|war|und,bertopic
1901,01,11,9,16,berlin berlin sw|das iſt|die in|er ſeine|00 50,berlin|berlin sw|prämiirt|sw|frankfurt,bertopic
1901,01,12,10,16,er nicht|ii armee armee|der millionen|der student|mir sich,er|nicht|iſt|und|ſich,bertopic
1901,01,13,11,16,berlin hamburg|fr lire|das der|die als|möbel von,berlin|hamburg|für|10|bei,bertopic
1901,01,15,12,16,berlin und|die der|kunſt künſtler|ich mich|pfandbriefe eigenen,berlin|und|in|000|für,bertopic
1901,01,16,13,16,der die|00 50,der|die|und|in|zu,bertopic
1901,01,17,14,16,und die|50 in|der die|der die|tsingtau von,und|die|der|in|zu,bertopic
1901,01,18,15,16,die der|die der,die|der|und|in|von,bertopic
1901,01,19,16,16,und mk|ſie hatte|der und|der ſich|die roſen,und|mk|in|berlin|der,bertopic
1901,01,20,17,16,50 und|die und|centner england|die der|der ungarn,50|und|mk|10|00,bertopic
1901,01,22,18,16,00 50|jahre im jahre|deutſchen der deutſchen|und in|deutſchen franzöſiſchen,00|50|25|10|75,bertopic
1901,01,23,19,16,50 00|ſie die|gleich um|die der|frauen in,50|00|berlin|10|und,bertopic
1901,01,24,20,16,50 75|die uns|prinz der|tod der|der firma,50|75|mk|25|und,bertopic
1901,01,25,21,15,00 50|der die|die der|ſie was|herr er,00|50|75|25|10,bertopic
1901,01,26,22,16,00 50|er sie|die der|millionen 1900|die der,00|50|berlin|25|75,bertopic
1901,01,27,23,16,königin der|die der|die iſt|wir das|berlin dresden,königin|der|die|in|den,bertopic
1901,01,29,24,16,berlin amt|er der|00 25|ohne qualität|von und,berlin|amt|telephon|telephon amt|und,bertopic
1901,01,30,25,16,die der|er ſie|00 50|schmerz der|gratis in,die|der|den|und|von,bertopic
1901,01,31,26,16,00 50|er sie|die ein|der die|zu die,00|50|mk|75|berlin,bertopic
1901,02,01,27,16,der die|er und|berlin dr|die der|00 25,der|die|ist|im|und,bertopic
1901,02,02,28,16,berlin strasse|daher ohne|nicht er|00 sw|00 25,berlin|strasse|mk|walzen|franco,bertopic
1901,02,03,29,16,die dass|anna ich|berlin für|er zu|in und,die|dass|der|in|sich,bertopic
1901,02,04,30,12,februar mai|95 100|25 75|000 500|bank do,februar|mai|hamburg|für|märz,bertopic
1901,02,05,31,12,50 in|und die|die der|der wir|ich zu,50|in|für|berlin|und,bertopic
1901,02,05,32,8,die der|pr 108|der die|11 97|500 000,die|der|den|und|des,bertopic
1901,02,06,33,12,berlin in|ich sie|der die|die der|die der,berlin|in|und|für|von,bertopic
1901,02,06,34,8,92 do|97 10|000 12|111 005g|bank do,92|do|versch|1900|14,bertopic
1901,02,07,35,16,berlin und|mk schreibmaschinen|von dem|der die|drahtbericht eigener,berlin|und|10|50|in,bertopic
1901,02,07,36,8,500 10|50 142|99 1899|98 10|103 100,500|10|005g|000|do,bertopic
1901,02,08,37,16,mk 50|und die|du das|iſt ſie|die des,mk|50|berlin|75|und,bertopic
1901,02,08,38,8,250 brauerei|do strassenb|der von|00 50|fr 56,250|brauerei|12|cement|120,bertopic
1901,02,09,39,16,kapital die|bei berlin|do februar|ausſtellung werden|ſie das,kapital|die|das|der|und,bertopic
1901,02,09,40,8,versch 1900|do 11|die der|do 14|der er,versch|1900|93|10|92,bertopic
1901,02,10,41,16,die der|theater erſten|ich mich|das in|februar do,die|der|de|general|iſt,bertopic
1901,02,11,42,8,die der|000 111|do 1900|00 50|11 10,die|der|in|und|den,bertopic
1901,02,12,43,16,berlin etc|und iſt|er der|kanal waſſer|ich die,berlin|etc|münchen|berlin sw|1901,bertopic
1901,02,12,44,8,die der|11 eisenb|und die|do 250|versch versch versch,die|der|in|iſt|und,bertopic
1901,02,13,45,16,berlin und|der die|der die|ſie er|millionen mk,berlin|und|no|gratis|strasse,bertopic
1901,02,13,46,8,versch 11|bank credit|do 100|der die|ich winter,versch|11|10|versch versch|14 10,bertopic
1901,02,14,47,16,elegante kronen|winter ich|mk 1900|ich mir|do mai,elegante|kronen|00|50|costumes,bertopic
1901,02,14,48,8,die der|bank credit|10 do|100 do|ich sie,die|der|und|in|den,bertopic
1901,02,15,49,16,berlin 88|winter sie|00 50|ich mich|könig königin,berlin|88|berliner|no|in berlin,bertopic
